   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.39068,             0.29288,             0.26713,             0.10621,            0.061259,            0.026296,            0.030201,                0.01,                0.01,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.5,                   1,                   1,                   1,                 0.2,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,                   3
             0.41597,             0.26694,              0.2552,            0.098772,            0.056515,            0.022609,            0.034945,             0.01075,                0.01,             0.96079,             0.00048,              2.7098,             0.87822,             0.10284,             0.04718,              0.5607,                   1,             0.87143,                   1,                 0.2,              4.1928,                   0,             0.01668,             0.62226,                 0.4,                   0,               0.085,             0.56178,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.7278
             0.40341,             0.29388,             0.27517,              0.1017,            0.066856,            0.028255,            0.029298,             0.01229,             0.01018,               0.937,              0.0005,               2.444,             0.67709,             0.12103,             0.05711,                 0.5,               1.098,              1.1171,             0.99236,                 0.2,                   4,                   0,             0.01477,             0.84486,             0.44986,                   0,             0.08977,             0.57272,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              4.4681
             0.36119,             0.31347,             0.24226,             0.09793,            0.059073,            0.029354,            0.026369,             0.01112,             0.01088,             0.92817,             0.00047,              3.3806,             0.72467,             0.09753,                0.05,             0.50551,             0.83946,              1.0882,                   1,                 0.2,                   4,                   0,             0.01529,                 0.7,                 0.4,                   0,                 0.1,                 0.5,                   0,                   0,                   0,                 0.5,             0.92097,                   0,                   0,                   3
             0.36722,             0.27041,             0.22752,            0.094825,            0.060185,            0.026735,            0.028826,             0.01008,             0.01004,             0.93177,              0.0005,              2.9866,                 0.8,             0.10109,             0.05019,             0.49347,              1.0041,                   1,             0.99241,                 0.2,                   4,                   0,             0.01494,             0.70341,             0.40665,                   0,                 0.1,             0.50588,                   0,                   0,                   0,                 0.5,             0.97764,                   0,                   0,              2.9733
             0.52105,             0.23879,             0.26433,             0.10523,            0.050125,            0.024768,            0.031631,             0.01038,             0.01041,               0.937,             0.00054,                   3,             0.62961,             0.09074,              0.0427,                 0.5,              1.0105,              1.1191,             0.78283,                 0.2,              3.9005,                   0,             0.01702,              0.6172,             0.43589,                   0,             0.11116,             0.50894,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,               2.461
             0.33293,             0.30783,             0.22927,             0.08168,            0.058557,            0.025404,            0.030132,             0.01072,             0.01118,                0.98,             0.00051,              2.7048,             0.90871,             0.10229,                0.05,              0.4659,               1.136,                   1,              1.0335,                 0.2,              3.5774,                   0,             0.01304,             0.72696,             0.42051,                   0,             0.08783,             0.40624,                   0,                   0,                   0,                 0.5,              0.9256,                   0,                   0,              2.6688
             0.44436,             0.29987,             0.26701,             0.10835,            0.058674,            0.026002,            0.029681,             0.01004,              0.0101,             0.93975,             0.00048,              3.0231,              0.7783,             0.10049,                0.05,                 0.5,             0.97331,              1.0032,              1.0031,                 0.2,                   4,                   0,             0.01555,             0.68213,             0.40125,                   0,             0.10058,              0.4875,                   0,                   0,                   0,                 0.5,              0.9919,                   0,                   0,                   3
             0.41004,             0.31318,             0.27197,              0.1059,            0.053566,            0.025868,            0.028208,             0.01004,              0.0101,             0.93586,             0.00049,              3.2263,             0.70256,             0.10099,              0.0451,             0.48912,              0.9048,             0.97767,              1.0031,                 0.2,              3.7646,                   0,             0.01536,             0.72126,             0.40125,                   0,               0.103,             0.48364,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.4806
             0.34543,             0.30725,             0.26115,             0.10532,            0.059899,            0.033189,              0.0285,             0.01004,              0.0101,             0.90917,             0.00041,              3.3652,              0.7783,             0.09834,             0.04764,             0.46161,              1.0984,             0.95072,              1.1697,                 0.2,              5.4975,                   0,             0.01555,             0.74522,             0.40125,                   0,             0.08779,             0.50051,                   0,                   0,                   0,                 0.5,             0.85686,                   0,                   0,              2.5669
