Name,Runtime,Notes,GPU Type,GPU Count,State,batch_size,cache,cfg,cos_lr,data_dict.names,data_dict.nc,epochs,hyp.anchor_t,hyp.anchors,hyp.box,hyp.cls,hyp.cls_pw,hyp.hsv_h,hyp.hsv_s,hyp.hsv_v,hyp.lr0,hyp.lrf,hyp.momentum,hyp.mosaic,hyp.obj,hyp.obj_pw,hyp.scale,hyp.translate,hyp.warmup_bias_lr,hyp.warmup_epochs,hyp.warmup_momentum,imgsz,label_smoothing,multi_scale,rect,weights,best/epoch,best/mAP_0.5,best/mAP_0.5:0.95,best/precision,best/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,metrics/precision,metrics/recall,train/box_loss,train/cls_loss,train/obj_loss,val/box_loss,val/cls_loss,val/obj_loss,x/lr0,x/lr1,x/lr2
yolov5s_results_2022_8_4,2622,-,NVIDIA A40,1,finished,128,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,488,0.434515358,0.212523563,0.577770466,0.460389719,0.432377596,0.211209374,0.575006752,0.456156776,0.018748587,0.011341761,0.019538885,0.055579901,0.019813072,0.020987321,0.000100391,0.000100391,0.000100391
yolov5s6_hyp_300,2253,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,384,0.287631409,0.128688703,0.463310636,0.29422128,0.286873415,0.128249122,0.463557325,0.29422128,0.014406111,0.01123612,0.006895824,0.063013576,0.029817544,0.024739975,0.000128211,0.000128211,0.000128211
yolov5s6_hyp_300,2051,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,334,0.284357507,0.122697534,0.508707901,0.295088741,0.284182594,0.122131197,0.510057324,0.293164942,0.017942572,0.011475443,0.012347755,0.062861092,0.028163778,0.023082122,0.000532177,0.000532177,0.000532177
no_gauss_80G,1117,-,NVIDIA A100-SXM4-80GB,1,finished,230,ram,./models/yolov5m.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./runs/train/no_gauss/weights/best.pt,115,0.233536679,0.094506163,0.310216905,0.259489077,0.233472067,0.094509801,0.310592882,0.259489077,0.03732397,0.012196261,0.017416257,0.065818749,0.029064905,0.01734269,0.00616014,0.00616014,0.00616014
no_gauss_80G,53,-,NVIDIA A100-SXM4-80GB,1,killed,128,ram,./models/yolov5m.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./runs/train/no_gauss/weights/best.pt,0,0.001017246,0.000265721,0.001244153,0.243221232,0.000857891,0.000218875,0.000988758,0.185972981,0.086577468,0.03377822,0.028300708,0.081572935,0.036031313,0.019351095,0.046899481,0.005899481,0.005899481
yolov5s_results_fixed2,4621,-,NVIDIA GeForce RTX 3090,1,finished,32,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,257,0.277204841,0.112201749,0.432881936,0.324208776,0.276850205,0.11229115,0.432772701,0.328082782,0.018603411,0.011257051,0.009720365,0.063316278,0.032474123,0.02294858,0.001991595,0.001991595,0.001991595
no_gauss_hyp,1087,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4.3116,4.7748,0.05158,0.42823,0.92099,0.01143,0.67979,0.72348,0.00891,0.01054,0.86359,0.86002,1.2182,0.61008,0.44609,0.09661,0.06034,2.3976,0.80029,416,0.1,TRUE,TRUE,./runs/train/no_gauss/weights/best.pt,129,0.289630593,0.12029214,0.445272935,0.297109948,0.289037817,0.120279915,0.445765315,0.296936276,0.018070189,0.0092765,0.010124782,0.060067106,0.024015576,0.026314478,0.005109341,0.005109341,0.005109341
no_gauss_hyp,2133,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4.3116,4.7748,0.05158,0.42823,0.92099,0.01143,0.67979,0.72348,0.00891,0.01054,0.86359,0.86002,1.2182,0.61008,0.44609,0.09661,0.06034,2.3976,0.80029,416,0.1,TRUE,TRUE,./runs/train/no_gauss/weights/best.pt,344,0.275174103,0.121194966,0.5181765,0.252130622,0.275315752,0.121612762,0.519150122,0.25273892,0.012408785,0.009147018,0.012348573,0.060684513,0.022482034,0.029768173,0.000373602,0.000373602,0.000373602
no_gauss,1871,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,303,0.298578556,0.119867458,0.579269505,0.284542972,0.297815775,0.119687746,0.578785013,0.282195554,0.016967947,0.011244843,0.008746584,0.063186213,0.03042884,0.021825114,0.001009121,0.001009121,0.001009121
yolov5s_results_rep,2338,-,NVIDIA A40,1,finished,256,ram,./models/yolov5s.yaml,TRUE,"[""1st degree burn"",""2nd degree burn"",""3rd degree""]",3,500,4,,0.05,0.5,1,0.015,0.7,0.4,0.01,0.01,0.937,1,1,1,0.5,0.1,0.1,3,0.8,416,0.1,TRUE,TRUE,./weights/yolov5s6.pt,426,0.268126329,0.111080211,0.474077562,0.266343298,0.267952951,0.111284843,0.475639587,0.266343298,0.01516575,0.011256866,0.0079369,0.06322398,0.028659757,0.025793515,0.000100391,0.000100391,0.000100391
